Year,Team,Revenue,Expense,Payroll,Operating Income,NHL Points,NHL Win Per,Population,Adjusted Rev,Adjusted Exp,Adjusted Payroll,Adjusted Payroll (Million),Adjusted Income
2017,St. Louis Blues,$150 ,$141 ,"$70,675,984",$9.20 ,99,0.561,"2,805,758",$144.87,$135.98,"$68,258,865.35",$68.2589,8.88536
2017,Tampa Bay Lightning,$124 ,$126 ,"$55,595,478",($1.80),94,0.512,"3,106,922",$119.76,$121.50,"$53,694,112.65",$53.6941,-1.73844
2017,Toronto Maple Leafs,$211 ,$135 ,"$62,945,820",$76 ,95,0.488,"6,217,328",$203.78,$130.38,"$60,793,072.96",$60.7931,73.4008
2017,Vancouver Canucks,$156 ,$134 ,"$66,424,256",$22 ,69,0.366,"2,616,904",$150.66,$129.42,"$64,152,546.44",$64.1525,21.2476
2017,Washington Capitals,$146 ,$130 ,"$73,952,827",$16 ,118,0.671,"6,211,341",$141.01,$125.55,"$71,423,640.32",$71.4236,15.4528
2017,Winnipeg Jets,$119 ,$109 ,"$64,113,622",$10 ,87,0.488,#N/A,$114.93,$105.27,"$61,920,936.13",$61.9209,9.658
2018,Anaheim Ducks,$134 ,$136 ,"$74,675,365",($2.30),101,0.537,"13,249,879",$126.33,$128.50,"$70,401,693.86",$70.4017,-2.168371
2018,Arizona Coyotes,$96 ,$107 ,"$57,472,552",($11),#N/A,#N/A,"4,849,209",$90.51,$100.88,"$54,183,397.85",$54.1834,-10.37047
2018,Boston Bruins,$191 ,$154 ,"$75,204,391",$37 ,112,0.610,"4,859,536",$180.07,$145.19,"$70,900,443.70",$70.9004,34.88249
2018,Buffalo Sabres,$128 ,$123 ,"$64,604,838",$5.30 ,62,0.305,"1,129,777",$120.67,$115.68,"$60,907,503.12",$60.9075,4.996681
2018,Calgary Flames,$132 ,$121 ,"$73,173,773",$11 ,84,0.451,"1,483,528",$124.45,$114.08,"$68,986,037.97",$68.9860,10.37047
2018,Carolina Hurricanes,$109 ,$113 ,"$57,873,988",($3.90),83,0.439,"1,361,590",$102.76,$106.44,"$54,561,859.67",$54.5619,-3.676803
2018,Chicago Blackhawks,$201 ,$144 ,"$67,616,908",$57 ,76,0.402,"9,484,158",$189.50,$135.76,"$63,747,192.36",$63.7472,53.73789
2018,Colorado Avalanche,$119 ,$112 ,"$66,395,026",$7.20 ,95,0.524,"2,931,665",$112.19,$105.40,"$62,595,238.66",$62.5952,6.787944
2018,Columbus Blue Jackets,$111 ,$113 ,"$74,758,383",($1.70),97,0.549,"2,104,194",$104.65,$106.25,"$70,479,960.74",$70.4800,-1.602709
